Unnamed: 0,week_of_outbreak,state_ut,district,Disease,Cases,Deaths,day,mon,year,Latitude,Longitude,preci,LAI,Temp
1267,43rd week,Maharashtra,Solapur,Dengue,10,,14,10,2019,17.6912883,75.8841635,0.5346480045,12.0,306.625
1271,44th week,Maharashtra,Buldhana,Dengue,98,,24,10,2019,20.562845,76.40869861,0.831913295,,301.62
1281,44th week,Maharashtra,Thane,Dengue,25,,10,9,2019,19.1943294,72.9701779,2.791678443,2.0,
1299,45th week,Maharashtra,Solapur,Dengue,11,1.0,20,9,2019,17.6912883,75.8841635,0.7313565149,6.0,310.28000000000003
1314,46th week,Maharashtra,Jalgaon,Dengue,8,1.0,24,10,2019,20.84288265,75.52612464,0.5594891162,,305.74
1315,46th week,Maharashtra,Kolhapur,Dengue,7,2.0,19,10,2019,16.7028412,74.2405329,0.4333649695,5.0,302.93
1330,47th week,Maharashtra,Beed,Dengue,16,,13,11,2019,18.9918442,75.909784,0.02363257748,11.0,304.6333334
1363,49th week,Maharashtra,Palghar,Dengue,16,,22,11,2019,19.684661,72.82491116,0.0008463301457,16.0,303.332
1380,51st week,Maharashtra,Chandrapur,Malaria,10,1.0,11,12,2019,20.0967555,79.50454752,9.38e-06,,300.325
1381,51st week,Maharashtra,Chandrapur,Dengue,34,2.0,7,10,2019,20.0967555,79.50454752,0.1414171169,,302.1966666
1386,1st week,Maharashtra,Gadchiroli,Malaria,13,1.0,31,12,2017,19.75907035,80.16228073,6.41e-05,13.0,300.156
1401,4th week,Maharashtra,Jalna,Dengue,11,,16,1,2018,19.91883295,75.87085986,0.0004715470776,,303.7133334
1435,10th week,Maharashtra,Nashik,Dengue,4,1.0,21,2,2018,20.0112475,73.7902364,0.0001015017778,6.0,307.69
1462,14th week,Maharashtra,Hingoli,Dengue,17,,20,3,2018,19.54140965,77.17376601,0.1180664855,3.0,314.168
1494,17th week,Maharashtra,Jalna,Dengue,18,1.0,2,4,2018,19.91883295,75.87085986,6.65e-05,4.0,321.6033334
