Unnamed: 0,week_of_outbreak,state_ut,district,disease,cases,deaths,day,mon,year,Latitude,Longitude,rainfall,lai,temp_kelvin,temp_c,humidity,population,pop_density,urban_percent
360,31st week,Maharashtra,Gadchiroli,Malaria,28,1.0,31,7,2021,19.75907035,80.16228073,0.4106211557,6.0,301.65000000000003,28.500000000000057,23.563706704169785,1072942,77,14.2
365,31st week,Maharashtra,Raigad,Dengue,18,,11,6,2021,18.4928092,73.13807095,1.136541734,7.0,302.40000000000003,29.250000000000057,31.950969489815478,2635394,368,36.9
367,31st week,Maharashtra,Satara,Dengue,16,,16,7,2021,17.63612885,74.29827808,1.489691674,5.0,303.64,30.49000000000001,35.261676801433644,3003922,287,29.7
368,31st week,Maharashtra,Wardha,Dengue,4,,7,6,2021,20.82562315,78.6131455,0.08542046896,5.0,312.90000000000003,39.75000000000006,9.617879259008753,1300774,187,31.8
378,33rd week,Maharashtra,Chandrapur,Malaria,7,3.0,7,8,2021,20.0967555,79.50454752,0.1193885184,11.0,297.56,24.410000000000025,23.530873637994436,2204307,192,32.4
379,33rd week,Maharashtra,Thane,Dengue,5,,17,8,2021,19.1943294,72.9701779,0.4410657126,4.0,298.92,25.77000000000004,26.343825930201024,11060148,1157,72.1
387,34th week,Maharashtra,Amravati,Dengue,22,3.0,18,8,2021,20.9521098,77.7333168,0.6170837983,17.0,304.7,31.55000000000001,23.454646065736316,2888445,237,40.5
389,34th week,Maharashtra,Satara,Dengue,15,,3,8,2021,17.63612885,74.29827808,0.111707267,8.0,302.32,29.170000000000016,19.249304001700565,3003922,287,29.7
392,35th week,Maharashtra,Akola,Dengue,3,,30,8,2021,20.76181225,77.19211567,0.1589494148,11.0,304.86,31.710000000000036,17.604438488445542,1818617,321,43.2
401,35th week,Maharashtra,Pune,Dengue,23,,7,6,2021,18.521428,73.8544541,1.023137245,8.0,304.635,31.485000000000014,28.572253180823648,9429408,603,61.3
409,36th week,Maharashtra,Jalgaon,Dengue,54,1.0,2,9,2021,20.84288265,75.52612464,0.8720325502,10.0,302.2666666,29.11666660000003,28.771770130953733,4224442,359,38.1
436,39th week,Maharashtra,Gadchiroli,Dengue,16,1.0,28,9,2021,19.75907035,80.16228073,0.6817132291,18.0,300.8,27.650000000000034,27.68966773272301,1072942,77,14.2
448,40th week,Maharashtra,Gadchiroli,Dengue,4,1.0,4,10,2021,19.75907035,80.16228073,0.3635032179,32.0,300.305,27.15500000000003,24.159262813970788,1072942,77,14.2
455,40th week,Maharashtra,Chandrapur,Dengue,7,,16,8,2021,20.0967555,79.50454752,0.03625636178,22.0,304.72,31.57000000000005,16.198487370052117,2204307,192,32.4
456,40th week,Maharashtra,Chandrapur,Malaria,9,,22,8,2021,20.0967555,79.50454752,0.8394995406,14.0,,,17.609576433229666,2204307,192,32.4
466,41st week,Maharashtra,Beed,Dengue,6,,13,10,2021,18.9918442,75.909784,0.2914203975,17.0,301.925,28.775000000000034,21.83633626517937,2585049,268,19.1
489,42nd week,Maharashtra,Thane,Dengue,5,1.0,1,10,2021,19.1943294,72.9701779,0.5969992657,29.0,299.39,26.24000000000001,27.87384238421732,11060148,1157,72.1
492,43rd week,Maharashtra,Gadchiroli,Malaria,10,1.0,25,10,2021,19.75907035,80.16228073,0.007116981315,28.0,301.528,28.378000000000043,18.642313725352675,1072942,77,14.2
